       0       1581
       1       1477
       2       1361
       3       1503
       4       1522
       5       1713
       6       1658
       7       1617
       8       1694
       9       1531
      10       1672
      11       1404
      12       1761
      13       1611
      14       1562
      15       1468
      16       1399
      17       1356
      18       1396
      19       1141
      20       1219
      21        973
      22       1069
      23        936
      24        886
      25       1002
      26        799
      27        772
      28        801
      29        610
      30        910
      31        364
      32        629
      33        506
      34        481
      35        811
      36        560
      37        485
      38        655
      39        465
      40        815
      41        299
      42        484
      43        333
      44        333
      45        593
      46        357
      47        336
      48        473
      49        278
      50        633
      51        186
      52        344
      53        257
      54        282
      55        455
      56        276
      57        165
      58        243
      59        144
      60        551
      61         83
      62        204
      63        156
      64        128
      65        325
      66        129
      67        100
      68        138
      69         84
      70        292
      71         51
      72         65
      73         67
      74         68
      75        167
      76         83
      77         29
      78         47
      79         11
      80         98
      81          8
      82         24
      83         14
      84         18
      85         40
      86         26
      87         17
      88         18
      89          5
      90         26
      91          2
      92          5
      93          5
      94          1
      95          3
      96          3
      97          2
      98         11
